net,length_um
_091_,143.13
_143_,134.9
_145_,131.91
_141_,121.34
_150_,116.62
_093_,116.16
_099_,114.1
net2,97.84
_101_,93.24
_090_,89.63
_094_,88.965
net9,87.73
_097_,86.34
_017_,76.1
_111_,75.44
_114_,62.51
_018_,60.82
_103_,59.7
net11,49.62
_139_,44.68
_151_,42.64
net12,42.26
_081_,42.18
_008_,38.38
_158_,38.2
net3,36.725
net4,35.56
_015_,35.14
_129_,34.56
net23,32.92
net10,30.06
net7,28.76
net13,27.82
_126_,27.64
net6,26.54
net5,25.96
_121_,25.12
_021_,24.88
_115_,24.64
net14,24.32
net18,24.28
net15,24.16
_026_,23.34
_160_,23.1
net17,22.76
_066_,21.66
_003_,20.66
net8,20.64
net16,19.58
_106_,19.32
_128_,19.2
_034_,18.94
_043_,18.06
_000_,17.8
_118_,17.6
_096_,17.52
net19,17.22
_012_,17.14
_135_,17.06
_004_,16.92
_006_,16.78
_107_,16.26
_100_,16.19
_079_,16
_011_,15.98
net25,15.82
net24,15.68
_102_,15.3
_022_,14.68
_092_,14.22
_109_,14.18
_159_,14.02
_063_,13.54
_014_,13.38
net21,13.3
_001_,13.16
_116_,13
_035_,12.94
out[3],12.62
_153_,12.58
_013_,12.44
opcode[0],12.4
_031_,12.34
net22,12.18
net26,11.92
_002_,11.72
_136_,11.7
_117_,11.64
_119_,11.56
_104_,11.54
_089_,11.08
B[5],11.02
_024_,10.86
_098_,10.66
_005_,10.645
_039_,10.54
_155_,10.46
out[4],10.34
B[6],10.13
net27,10
_125_,9.43
_122_,9.36
_067_,9.08
_154_,8.9
_112_,8.88
_113_,8.88
B[4],8.84
A[4],8.72
opcode[1],8.72
opcode[2],8.72
_134_,8.7
_157_,8.7
_142_,8.6
net20,8.5
_052_,8.48
_137_,8.38
_140_,8.06
_030_,7.92
_032_,7.88
_110_,7.8
_073_,7.32
_047_,7.3
_130_,7.1
B[0],6.77
_044_,6.74
_059_,6.74
_072_,6.64
_146_,6.64
_156_,6.52
_056_,6.32
B[1],6.31
_048_,6.3
_050_,6.3
_036_,6.28
_027_,6.26
_147_,6.18
_042_,6.14
_148_,6.14
_127_,6.06
A[5],5.97
B[2],5.97
_123_,5.86
_062_,5.84
net1,5.84
_025_,5.6
A[6],5.41
out[2],5.41
_041_,5.36
_068_,5.36
B[3],5.29
out[1],5.07
out[7],5.07
_009_,5.06
_028_,5
A[0],4.95
A[1],4.95
_108_,4.92
_074_,4.885
_086_,4.88
out[0],4.73
out[6],4.73
A[2],4.61
A[3],4.61
A[7],4.61
_054_,4.6
_045_,4.48
out[5],4.39
_057_,4.34
_083_,4.32
B[7],4.27
_010_,4.22
_040_,4
_131_,4
_016_,3.98
_132_,3.98
_007_,3.88
_064_,3.68
_087_,3.66
_088_,3.64
_053_,3.56
_120_,3.54
_076_,3.52
_029_,3.42
_095_,3.42
_033_,3.1
_055_,3.08
_070_,3.08
_133_,2.98
_138_,2.96
_065_,2.86
_020_,2.74
_023_,2.72
_084_,2.52
_149_,2.52
_085_,2.5
_061_,2.4
_038_,2.28
_049_,2.16
_019_,2.065
_060_,2.06
_105_,2.06
_080_,2.04
_046_,1.8
_082_,1.72
_075_,1.7
_124_,1.7
_144_,1.6
_078_,1.48
_071_,1.38
_037_,1.26
_051_,1.26
_069_,1.26
_077_,1.26
_152_,0.92
_058_,0.46
